Primary Player	Target	Kill Count
Vik	Ethan	23
Vik	Josh	23
Vik	Simon	23
JJ	Ethan	21
Tobi	Vik	21
Simon	Tobi	20
Ethan	Harry	19
Vik	Tobi	19
Deji	JJ	18
JJ	Vik	18
Ethan	JJ	17
Ethan	Josh	17
Josh	Ethan	17
Tobi	Ethan	17
Josh	Simon	16
Josh	Tobi	16
Deji	Tobi	15
Ethan	Simon	15
Ethan	Vik	15
Josh	JJ	15
Simon	Josh	15
Simon	Vik	15
Tobi	Josh	15
Tobi	Lazarbeam	15
Harry	Simon	14
JJ	Harry	14
Josh	Harry	14
Harry	Josh	13
JJ	Deji	13
JJ	Josh	13
Lazarbeam	Ethan	13
Randolph	Harry	13
Simon	Ethan	13
Tobi	Harry	13
Ethan	Tobi	12
JJ	Tobi	12
Lazarbeam	Simon	12
Simon	Lazarbeam	12
Tobi	Randolph	12
Tobi	Simon	12
DannyAarons	Ethan	11
Deji	Vik	11
Deji	Viz	11
Ethan	Lazarbeam	11
Harry	Ethan	11
JJ	Viz	11
Tobi	Deji	11
Tobi	JJ	11
DannyAarons	Simon	10
Deji	Harry	10
Ethan	Lachlan	10
JJ	Simon	10
Lachlan	Simon	10
Lazarbeam	Vik	10
Simon	Harry	10
Vik	Harry	10
Ethan	DannyAarons	9
Ethan	Ethan	9
Josh	Deji	9
Josh	Vik	9
Lachlan	Deji	9
Lachlan	Lachlan	9
Vik	Lachlan	9
Vik	Randolph	9
Deji	Deji	8
Harry	Deji	8
Harry	Tobi	8
Lachlan	Lazarbeam	8
Simon	Randolph	8
Tobi	Lachlan	8
Tobi	Viz	8
DannyAarons	Lazarbeam	7
DannyAarons	Vik	7
Deji	Lazarbeam	7
Ethan	Randolph	7
Harry	Harry	7
JJ	JJ	7
JJ	Randolph	7
Josh	Randolph	7
Lachlan	Vik	7
Lazarbeam	Deji	7
Lazarbeam	Harry	7
Lazarbeam	JJ	7
Lazarbeam	Lachlan	7
Lazarbeam	Tobi	7
Randolph	Josh	7
Randolph	Simon	7
Randolph	Viz	7
Simon	JJ	7
Vik	Viz	7
Ethan	Deji	6
Harry	Vik	6
JJ	Lachlan	6
Lachlan	Ethan	6
Lachlan	Josh	6
Lachlan	Randolph	6
Lachlan	Tobi	6
Lazarbeam	Josh	6
Randolph	Tobi	6
Simon	DannyAarons	6
Simon	Lachlan	6
Simon	Viz	6
Vik	Lazarbeam	6
Vik	Vik	6
Viz	Tobi	6
Viz	Vik	6
DannyAarons	JJ	5
DannyAarons	Lachlan	5
DannyAarons	Tobi	5
Deji	Ethan	5
Deji	Simon	5
Harry	JJ	5
Harry	Lazarbeam	5
JJ	Lazarbeam	5
JME	Josh	5
Josh	Ellum	5
Josh	Viz	5
Lazarbeam	Viz	5
PieFace	Josh	5
PieFace	Randolph	5
Randolph	JJ	5
Randolph	Vik	5
Simon	Deji	5
Vik	Deji	5
Viz	DannyAarons	5
Viz	Ethan	5
Viz	Harry	5
Viz	Simon	5
DannyAarons	DannyAarons	4
DannyAarons	Harry	4
Deji	DannyAarons	4
Deji	Josh	4
Ellum	Josh	4
Ellum	Simon	4
Ethan	Viz	4
Harry	Lachlan	4
JJ	Calfreezy	4
JJ	DannyAarons	4
JME	Ethan	4
JME	Harry	4
Josh	DannyAarons	4
Josh	Lachlan	4
Lachlan	Harry	4
PieFace	Tobi	4
PieFace	Vik	4
Randolph	Ethan	4
Randolph	Lazarbeam	4
Simon	Ellum	4
Simon	PieFace	4
Tobi	PieFace	4
Tobi	Tobi	4
Vik	PieFace	4
Viz	Ellum	4
Viz	Josh	4
Viz	Randolph	4
DannyAarons	Callux	3
DannyAarons	Josh	3
Deji	Callux	3
Deji	JME	3
Deji	Randolph	3
Ellum	Ethan	3
Ellum	Tobi	3
Ethan	PieFace	3
George Clarkey	George Clarkey	3
Ginge	DannyAarons	3
Ginge	JJ	3
Ginge	Tobi	3
Harry	DannyAarons	3
Harry	Randolph	3
JJ	Ginge	3
JME	JJ	3
Josh	Callux	3
Josh	Ginge	3
Josh	Theo	3
Lazarbeam	DannyAarons	3
Lazarbeam	PieFace	3
MaxFosh	Josh	3
MaxFosh	Vik	3
PieFace	Deji	3
PieFace	Harry	3
PieFace	Lachlan	3
PieFace	Simon	3
Randolph	Ginge	3
Simon	ChrisMD	3
Tobi	ArthurTV	3
Tobi	George Clarkey	3
Tobi	JME	3
Vik	DannyAarons	3
Vik	JJ	3
Viz	Deji	3
Viz	Lazarbeam	3
Viz	PieFace	3
AB	Simon	2
ArthurTV	Vik	2
ArthurTV	Viz	2
Calfreezy	Harry	2
Calfreezy	Tobi	2
Callux	Deji	2
Callux	Tobi	2
Callux	Viz	2
Chip	Vik	2
ChrisMD	Simon	2
ChrisMD	Vik	2
DannyAarons	AliA	2
DannyAarons	Chip	2
DannyAarons	Ellum	2
DannyAarons	PieFace	2
DannyAarons	Randolph	2
DannyAarons	Viz	2
Deji	Ginge	2
Deji	Lachlan	2
Deji	MaxFosh	2
Deji	PieFace	2
