Game Number	Game Number	Sequence	Primary Player	Event Type	Secondary Player
1	1	1	Harry	Killed (Killed)	Ethan
1	1	2	JJ	Called Emergency Meeting	
1	1	3	Harry	Killed (Killed)	JJ
1	1	4	Simon	Called Emergency Meeting	
1	1	5	Harry	Killed (Killed)	Tobi
1	1	6	Vik	Killed (Killed)	Liam
1	1	7	MilkInABag	Reported Body Of	Liam
1	1	8	Vik	Was Voted Out	
1	1	9	Harry	Killed (Killed)	Simon
1	1	10	MilkInABag	Reported Body Of	Simon
1	1	11	Harry	Was Voted Out	
2	2	1	JJ	Killed (Killed)	Harry
2	2	2	Tobi	Reported Body Of	Harry
2	2	3	Tobi	Was Voted Out	
2	2	4	MilkInABag	Killed (Killed)	Simon
2	2	5	Vik	Called Emergency Meeting	
2	2	6	MilkInABag	Killed (Killed)	Josh
2	2	7	JJ	Killed (Killed)	Ethan
2	2	8	MilkInABag	Killed (Killed)	Vik
3	3	1	Vik	Killed (Killed)	MilkInABag
3	3	2	Simon	Reported Body Of	MilkInABag
3	3	3	Randolph	Was Voted Out	
3	3	4	JJ	Called Emergency Meeting	
3	3	5	Simon	Called Emergency Meeting	
3	3	6	Tobi	Was Voted Out	
3	3	7	Ethan	Killed (Killed)	Liam
3	3	8	Vik	Killed (Killed)	Josh
3	3	9	Vik	Reported Body Of	Josh
3	3	10	Harry	Was Voted Out	
4	4	1	JJ	Called Emergency Meeting	
4	4	2	JJ	Was Voted Out	
4	4	3	Randolph	Killed (Killed)	Harry
4	4	4	Simon	Reported Body Of	Harry
4	4	5	Randolph	Killed (Killed)	Vik
4	4	6	Ethan	Killed (Killed)	Simon
4	4	7	Tobi	Reported Body Of	Simon
4	4	8	Ethan	Was Voted Out	
4	4	9	Randolph	Killed (Killed)	MilkInABag
4	4	10	Liam	Reported Body Of	MilkInABag
4	4	11	Randolph	Was Voted Out	
5	5	1	MilkInABag	Killed (Killed)	Tobi
5	5	2	JJ	Killed (Killed)	Ethan
5	5	3	Liam	Reported Body Of	Tobi
5	5	4	JJ	Killed (Killed)	Harry
5	5	5	MilkInABag	Killed (Killed)	Liam
5	5	6	Simon	Reported Body Of	Harry
5	5	7	Josh	Was Voted Out	
5	5	8	MilkInABag	Killed (Killed)	Vik
6	6	1	Ethan	Killed (Killed)	JJ
6	6	2	MilkInABag	Reported Body Of	JJ
6	6	3	Ethan	Killed (Killed)	Simon
6	6	4	Josh	Reported Body Of	Simon
6	6	5	Harry	Was Voted Out	
6	6	6	Ethan	Killed (Killed)	Josh
6	6	7	Vik	Reported Body Of	Josh
6	6	8	Ethan	Was Voted Out	
6	6	9	Randolph	Killed (Killed)	Tobi
6	6	10	Liam	Reported Body Of	Tobi
6	6	11	Randolph	Was Voted Out	
7	7	1	Harry	Killed (Killed)	Vik
7	7	2	Pewdiepie	Reported Body Of	Vik
7	7	3	Harry	Was Voted Out	
7	7	4	Josh	Killed (Killed)	JJ
7	7	5	Dream	Reported Body Of	JJ
7	7	6	Josh	Killed (Killed)	Pewdiepie
