Games Played		Role Name	Wins		Map Name	Number of Games
402		Crewmate	182		The Skeld	244
		Imposter	182		Bigger Skeld	119
Crewmate Wins By Tasks Completed		Jester	14		Polus	21
4		Executioner	6		Sidemen House	11
		Cannibal	3		Sidemen Custom	3
Imposter Wins By Crisis		Arsonist	2		Distrito 5	1
6		Juggernaut	2		MIRA HQ	1
		Doomsayer	1		The Airship	1
Players Voted Out 		Glitch	1		The Fungle	1
710		Grinch	1			
		Jackal	1			
Emergency Meetings Called		Lover	1			
421		Pelican	1			
		Prosecutor	1			
Bodies Reported		Soul Collector	1			
967		Vampire Neutral	1			
		Vulture	1			
Kills		Werewolf	1			
1875						
						
Total Tasks						
15110						
						
Total Tasks Completed						
5785						
