Game Number	Video Link	Winner	Map Name	Players, Roles and Tasks	Players, Roles and Tasks
1	https://www.youtube.com/watch?v=E9bdMxOpm88&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=1	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,MilkInABag - Crewmate,Randolph - Crewmate,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Imposter Tobi - Crewmate Ethan - Crewmate Harry - Imposter JJ - Crewmate MilkInABag - Crewmate Randolph - Crewmate Liam - Crewmate
2	https://www.youtube.com/watch?v=E9bdMxOpm88&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=591s	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,MilkInABag - Imposter,Randolph - Crewmate,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter MilkInABag - Imposter Randolph - Crewmate Liam - Crewmate
3	https://www.youtube.com/watch?v=hJ_0vSSZ_LY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=2	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Imposter,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,MilkInABag - Crewmate,Randolph - Crewmate,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Imposter Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate MilkInABag - Crewmate Randolph - Crewmate Liam - Crewmate
4	https://www.youtube.com/watch?v=hJ_0vSSZ_LY&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=486s	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,MilkInABag - Crewmate,Randolph - Imposter,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate MilkInABag - Crewmate Randolph - Imposter Liam - Crewmate
5	https://www.youtube.com/watch?v=lL-df-6LGJA&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=3	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,MilkInABag - Imposter,Randolph - Crewmate,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter MilkInABag - Imposter Randolph - Crewmate Liam - Crewmate
6	https://www.youtube.com/watch?v=lL-df-6LGJA&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=357s	Crewmate	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,MilkInABag - Crewmate,Randolph - Imposter,Liam - Crewmate	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate MilkInABag - Crewmate Randolph - Imposter Liam - Crewmate
7	https://www.youtube.com/watch?v=7wFgdzKMlEk&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=4	Crewmate	The Skeld	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Imposter,JJ - Crewmate,Dream - Crewmate,Pewdiepie - Crewmate,JackSepticEye - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Imposter JJ - Crewmate Dream - Crewmate Pewdiepie - Crewmate JackSepticEye - Crewmate
8	https://www.youtube.com/watch?v=48q4H-ZW8Lo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=5	Crewmate	The Skeld	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Crewmate,Ethan - Imposter,Harry - Crewmate,JJ - Crewmate,Dream - Crewmate,Pewdiepie - Crewmate,JackSepticEye - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Crewmate Ethan - Imposter Harry - Crewmate JJ - Crewmate Dream - Crewmate Pewdiepie - Crewmate JackSepticEye - Crewmate
9	https://www.youtube.com/watch?v=48q4H-ZW8Lo&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&t=682s	Imposter	The Skeld	Simon - Crewmate,Josh - Crewmate,Vik - Crewmate,Tobi - Crewmate,Ethan - Crewmate,Harry - Crewmate,JJ - Imposter,Dream - Crewmate,Pewdiepie - Crewmate,JackSepticEye - Imposter	Simon - Crewmate Josh - Crewmate Vik - Crewmate Tobi - Crewmate Ethan - Crewmate Harry - Crewmate JJ - Imposter Dream - Crewmate Pewdiepie - Crewmate JackSepticEye - Imposter
10	https://www.youtube.com/watch?v=7rXSXZLZNu0&list=PLhjLcvbbPVrVOY5w5Pl7KuSe5fGroQJJD&index=6	Crewmate	The Skeld	Simon - Crewmate,Josh - Imposter,Vik - Crewmate,Tobi - Imposter,Ethan - Crewmate,Harry - Crewmate,JJ - Crewmate,Dream - Crewmate,Pewdiepie - Crewmate,JackSepticEye - Crewmate	Simon - Crewmate Josh - Imposter Vik - Crewmate Tobi - Imposter Ethan - Crewmate Harry - Crewmate JJ - Crewmate Dream - Crewmate Pewdiepie - Crewmate JackSepticEye - Crewmate
