Name	Games Played	Wins	Losses	Win %	Kills	Deaths	KDR	Kills as Imposter	Kills Per Imposter Game	Imposter Games	Imposter Wins	Imposter Win %	Crewmate Games	Crewmate Wins	Crewmate Win %	Neutral Games	Neutral Wins	Neutral Win %	Lover Games	Lover Wins	Lover Win %	Total Tasks	Tasks Completed	Task Completion %	All Tasks Completed	Voted out	Emergency Meetings	Bodies Reported	Voted out First	First Death of Game	Death in First Round	Disconnected	Rage Quit
Josh	365	159	206	43.56	150	163	0.92	141	1.7	83	37	44.58	267	120	44.94	15	3	20	3	0	0	1306	639	48.93	23	68	41	85	27	36	41	1	0
Tobi	356	161	195	45.22	182	159	1.14	160	2.16	74	32	43.24	262	125	47.71	20	4	20	2	0	0	1157	802	69.32	58	65	25	81	29	34	46	1	1
Ethan	352	153	200	43.47	172	177	0.97	149	2.22	67	29	43.28	267	119	44.57	18	4	22.22	2	1	50	1275	746	58.51	47	48	20	81	27	41	47	1	0
Vik	350	177	173	50.57	170	168	1.01	159	2.12	75	44	58.67	260	128	49.23	15	6	40	0	0	0	1229	317	25.79	11	50	34	89	24	33	39	1	1
Simon	338	183	155	54.14	152	163	0.93	138	2.46	56	42	75	261	136	52.11	21	5	23.81	1	0	0	1227	629	51.26	40	32	46	119	16	35	47	0	0
Harry	312	138	174	44.23	102	154	0.66	89	1.82	49	22	44.9	245	112	45.71	18	4	22.22	1	0	0	1170	461	39.4	19	43	26	83	24	27	39	1	1
JJ	289	121	168	41.87	165	118	1.4	135	1.85	73	32	43.84	200	87	43.5	16	2	12.5	4	0	0	904	174	19.25	7	88	63	33	57	29	43	4	0
Deji	227	98	129	43.17	122	96	1.27	92	2.09	44	16	36.36	162	75	46.3	21	8	38.1	2	0	0	1112	206	18.53	9	64	35	23	45	26	32	1	0
Lazarbeam	213	103	110	48.36	102	94	1.09	89	2.07	43	24	55.81	162	75	46.3	8	4	50	1	0	0	993	249	25.08	4	37	27	64	17	18	22	0	0
Randolph	166	61	105	36.75	69	82	0.84	68	2.06	33	11	33.33	128	49	38.28	5	1	20	0	0	0	581	249	42.86	11	34	12	35	12	18	24	0	0
Lachlan	158	60	98	37.97	86	81	1.06	72	2.12	34	12	35.29	116	47	40.52	8	1	12.5	0	0	0	623	177	28.41	6	25	13	48	10	10	17	0	0
Viz	158	75	83	47.47	63	82	0.77	54	2.16	25	11	44	122	61	50	11	3	27.27	0	0	0	719	246	34.21	9	19	7	33	11	14	17	1	0
DannyAarons	133	58	75	43.61	82	53	1.55	73	2.09	35	13	37.14	88	43	48.86	10	2	20	0	0	0	561	103	18.36	NA	27	11	41	14	11	15	2	0
PieFace	79	36	43	45.57	40	39	1.03	38	2	19	11	57.89	59	25	42.37	1	0	0	1	0	0	364	212	58.24	16	13	7	24	5	12	13	1	0
Ellum	54	26	28	48.15	27	26	1.04	27	2.7	10	4	40	44	22	50	0	0	0	0	0	0	195	78	40	3	15	3	11	9	6	5	0	0
Ginge	39	11	28	28.21	18	21	0.86	13	1.44	9	0	0	25	10	40	5	1	20	0	0	0	178	85	47.75	4	7	7	12	5	4	2	0	0
JME	35	18	17	51.43	32	18	1.78	27	2.25	12	4	33.33	21	14	66.67	2	0	0	0	0	0	121	51	42.15	2	8	11	5	1	3	3	0	0
Callux	34	16	18	47.06	10	21	0.48	8	2	4	2	50	26	12	46.15	4	2	50	0	0	0	98	25	25.51	NA	6	3	4	2	5	5	0	0
ChrisMD	34	13	21	38.24	13	13	1	13	4.33	3	1	33.33	31	12	38.71	0	0	0	0	0	0	155	29	18.71	NA	7	4	6	3	4	4	0	0
MaxFosh	32	15	18	46.88	19	15	1.27	18	1.8	10	2	20	20	12	60	2	0	0	2	1	50	122	59	48.36	2	7	4	11	5	1	2	0	0
Calfreezy	29	10	19	34.48	12	14	0.86	11	1.38	8	4	50	21	6	28.57	0	0	0	0	0	0	98	13	13.27	NA	5	4	7	3	3	2	0	0
